id,duration,name,start_time,end_time,start_latitude,start_longitude,end_latitude,end_longitude
373,0.109116,MF038005|PED-JS-2016-12-2|Jiangsu|NA|2016-12-28,2016-11-18 13:31:30,2016-12-28 12:00:00,33.1402,119.7889,33.1402,119.7889
374,0.39075,None,2016-06-03 18:19:44,2016-10-24 18:40:37,33.1402,119.7889,33.1402,119.7889
375,0.176835,MF038007|PED-JS-2015-12-4|Jiangsu|NA|2016-12-28,2016-10-24 18:40:52,2016-12-28 12:00:00,33.1402,119.7889,33.1402,119.7889
376,0.103065,MF038006|PED-JS-2016-12-1|Jiangsu|NA|2016-12-01,2016-10-24 18:40:37,2016-12-01 12:00:00,33.1402,119.7889,33.1402,119.7889
377,0.622271,MF038003|PED-JS-2015-12-2|Jiangsu|NA|2015-12-25,2015-05-12 08:54:21,2015-12-25 12:00:00,33.1402,119.7889,33.1402,119.7889
378,4.598107,KP399605|CH-XLC-02-2014|Guangdong|NA|2014-02,2009-07-12 16:34:57,2014-02-16 00:00:00,23.379,113.7633,23.379,113.7633
379,4.219811,KP698765|GD15|Guangdong|NA|2013,2009-04-11 17:27:20,2013-06-30 23:00:00,23.379,113.7633,23.379,113.7633
380,0.349993,None,2008-08-01 10:37:03,2008-12-07 12:57:22,23.379,113.7633,23.379,113.7633
381,0.482572,None,2008-08-21 18:42:32,2009-02-14 06:42:35,23.379,113.7633,30.6007,117.9249
382,8.031017,None,2009-05-31 15:46:26,2017-06-11 23:28:58,30.6007,117.9249,30.6007,117.9249
383,0.846476,None,2017-06-12 04:59:12,2018-04-17 04:06:59,30.6007,117.9249,35.894,117.9249
384,0.65882,SS-CH-ZZ1-2018|CH-ZZ1-2018|Shandong|Zaozhuang|2018-12-14,2018-04-18 00:44:12,2018-12-14 12:00:00,35.894,117.9249,35.894,117.9249
385,0.386835,None,2018-04-17 04:06:59,2018-09-05 08:47:28,35.894,117.9249,27.0875,114.9042
386,0.942912,SS-CH-JJ3-2019|CH-JJ3-2019|Jiangxi|Jiujiang|2019-08,2018-09-05 19:05:27,2019-08-15 23:00:00,27.0875,114.9042,27.0875,114.9042
387,0.36338,SS-CH-SM2-2019|CH-SM2-2019|Fujian|Sanming|2019-01,2018-09-05 08:47:28,2019-01-16 00:00:00,27.0875,114.9042,26.4837,117.9249
388,0.430196,SS-CH-AQ4-2017|CH-AQ4-2017|Anhui|Anqing|2017-11,2017-06-11 23:28:58,2017-11-16 00:00:00,30.6007,117.9249,30.6007,117.9249
389,1.845317,None,2009-02-14 06:42:35,2010-12-19 19:41:12,30.6007,117.9249,30.6007,117.9249
390,1.388538,JX018182|CH/AHHF-2/2012|Anhui|Hefei|2012,2011-02-09 15:28:31,2012-06-30 23:00:00,30.6007,117.9249,30.6007,117.9249
391,1.530523,JX018181|CH/AHHF/2012|Anhui|Hefei|2012,2010-12-19 19:41:12,2012-06-30 23:00:00,30.6007,117.9249,30.6007,117.9249
392,3.065684,None,2008-12-07 12:57:22,2011-12-31 13:57:07,23.379,113.7633,27.0875,114.9042
393,1.139503,KJ526117|CH/JXJJ-2/2013|Jiangxi|Jiujiang|2013-02-20,2011-12-31 13:57:13,2013-02-20 12:00:00,27.0875,114.9042,27.0875,114.9042
394,1.161421,KJ526116|CH/JXJJ-1/2013|Jiangxi|Jiujiang|2013-02-28,2011-12-31 13:57:07,2013-02-28 11:59:59,27.0875,114.9042,27.0875,114.9042
395,0.335072,None,2008-03-24 19:44:29,2008-07-25 11:00:50,23.379,113.7633,34.2904,113.3824
396,0.753728,None,2008-07-25 14:36:26,2009-04-27 03:42:59,34.2904,113.3824,34.2904,113.3824
397,0.149628,None,2009-04-26 12:31:12,2009-06-20 03:15:40,34.2904,113.3824,34.2904,113.3824
398,0.385422,None,2009-06-19 22:40:25,2009-11-07 14:58:13,34.2904,113.3824,34.2904,113.3824
399,0.501883,None,2009-11-07 20:02:44,2010-05-10 00:32:26,34.2904,113.3824,34.2904,113.3824
400,0.153505,None,2010-05-09 20:45:06,2010-07-04 21:27:20,34.2904,113.3824,34.2904,113.3824
401,1.511797,None,2010-07-05 15:58:54,2012-01-08 11:48:52,34.2904,113.3824,34.2904,113.3824
402,0.111481,None,2012-01-08 11:48:42,2012-02-18 07:03:39,34.2904,113.3824,34.2904,113.3824
403,0.396759,None,2012-02-18 07:04:00,2012-07-12 12:11:52,34.2904,113.3824,34.2904,113.3824
